COUNTRY,Country_1,PAYP,Pay_period,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
BRA,Brazil,M,Monthly,2006,2006,BRL,Brazilian Real,0,Units,null,null,337.5,null,null,null
BRA,Brazil,M,Monthly,2007,2007,BRL,Brazilian Real,0,Units,null,null,372.5,null,null,null
BRA,Brazil,M,Monthly,2008,2008,BRL,Brazilian Real,0,Units,null,null,409.17,null,null,null
BRA,Brazil,M,Monthly,2009,2009,BRL,Brazilian Real,0,Units,null,null,460.83,null,null,null
BRA,Brazil,M,Monthly,2010,2010,BRL,Brazilian Real,0,Units,null,null,510,null,null,null
BRA,Brazil,M,Monthly,2011,2011,BRL,Brazilian Real,0,Units,null,null,544.17,null,null,null
BRA,Brazil,M,Monthly,2012,2012,BRL,Brazilian Real,0,Units,null,null,622,null,null,null
BRA,Brazil,M,Monthly,2013,2013,BRL,Brazilian Real,0,Units,null,null,678,null,null,null
BRA,Brazil,M,Monthly,2014,2014,BRL,Brazilian Real,0,Units,null,null,724,null,null,null
BRA,Brazil,M,Monthly,2015,2015,BRL,Brazilian Real,0,Units,null,null,788,null,null,null
BRA,Brazil,M,Monthly,2016,2016,BRL,Brazilian Real,0,Units,null,null,880,null,null,null
BRA,Brazil,M,Monthly,2017,2017,BRL,Brazilian Real,0,Units,null,null,937,null,null,null
BRA,Brazil,M,Monthly,2018,2018,BRL,Brazilian Real,0,Units,null,null,954,null,null,null
BRA,Brazil,M,Monthly,2019,2019,BRL,Brazilian Real,0,Units,null,null,998,null,null,null
BRA,Brazil,M,Monthly,2020,2020,BRL,Brazilian Real,0,Units,null,null,1045,null,null,null
BRA,Brazil,M,Monthly,2021,2021,BRL,Brazilian Real,0,Units,null,null,1100,null,null,null
BRA,Brazil,M,Monthly,2022,2022,BRL,Brazilian Real,0,Units,null,null,1212,null,null,null
KOR,Korea,H,Hourly,1995,1995,KRW,Won,0,Units,null,null,1205,null,null,null
KOR,Korea,H,Hourly,1996,1996,KRW,Won,0,Units,null,null,1317,null,null,null
KOR,Korea,H,Hourly,1997,1997,KRW,Won,0,Units,null,null,1428,null,null,null
KOR,Korea,H,Hourly,1998,1998,KRW,Won,0,Units,null,null,1498,null,null,null
KOR,Korea,H,Hourly,1999,1999,KRW,Won,0,Units,null,null,1550,null,null,null
KOR,Korea,H,Hourly,2000,2000,KRW,Won,0,Units,null,null,1688,null,null,null
KOR,Korea,H,Hourly,2001,2001,KRW,Won,0,Units,null,null,1943,null,null,null
KOR,Korea,H,Hourly,2002,2002,KRW,Won,0,Units,null,null,2158,null,null,null
KOR,Korea,H,Hourly,2003,2003,KRW,Won,0,Units,null,null,2353,null,null,null
KOR,Korea,H,Hourly,2004,2004,KRW,Won,0,Units,null,null,2620,null,null,null
KOR,Korea,H,Hourly,2005,2005,KRW,Won,0,Units,null,null,2927,null,null,null
KOR,Korea,H,Hourly,2006,2006,KRW,Won,0,Units,null,null,3100,null,null,null
KOR,Korea,H,Hourly,2007,2007,KRW,Won,0,Units,null,null,3480,null,null,null
KOR,Korea,H,Hourly,2008,2008,KRW,Won,0,Units,null,null,3770,null,null,null
KOR,Korea,H,Hourly,2009,2009,KRW,Won,0,Units,null,null,4000,null,null,null
KOR,Korea,H,Hourly,2010,2010,KRW,Won,0,Units,null,null,4110,null,null,null
KOR,Korea,H,Hourly,2011,2011,KRW,Won,0,Units,null,null,4320,null,null,null
