LOCATION,Country,TRANSACT,Transaction,MEASURE,Measure_1,TIME,Year,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2019,2019,USD,US Dollar,0,Units,null,null,56621.428343,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2020,2020,USD,US Dollar,0,Units,null,null,55754.742161,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2021,2021,USD,US Dollar,0,Units,null,null,62108.152895,null,null,null
BEL,Belgium,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2022,2022,USD,US Dollar,0,Units,null,null,68287.330393,P,Provisional value,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1995,1995,USD,US Dollar,0,Units,null,null,23485.643444,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1996,1996,USD,US Dollar,0,Units,null,null,24050.176142,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1997,1997,USD,US Dollar,0,Units,null,null,25259.725362,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1998,1998,USD,US Dollar,0,Units,null,null,26319.930258,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",1999,1999,USD,US Dollar,0,Units,null,null,27841.629576,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2000,2000,USD,US Dollar,0,Units,null,null,29362.289573,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2001,2001,USD,US Dollar,0,Units,null,null,30231.005032,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2002,2002,USD,US Dollar,0,Units,null,null,30963.222007,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2003,2003,USD,US Dollar,0,Units,null,null,32350.070882,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2004,2004,USD,US Dollar,0,Units,null,null,33925.89256,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2005,2005,USD,US Dollar,0,Units,null,null,36327.662059,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2006,2006,USD,US Dollar,0,Units,null,null,38120.176792,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2007,2007,USD,US Dollar,0,Units,null,null,39575.324973,null,null,null
CAN,Canada,B1_GE,Gross domestic product (expenditure approach),HCPC,"Per head, current prices, current PPPs",2008,2008,USD,US Dollar,0,Units,null,null,40376.330167,null,null,null
