LOCATION,Country,SUBJECT,Subject_1,MEASURE,Measure_1,FREQUENCY,Frequency_1,TIME,Time_1,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2016-10,Oct-2016,PC,Percentage,0,Units,null,null,0.678455045675513,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2016-11,Nov-2016,PC,Percentage,0,Units,null,null,0.675984968649198,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2016-12,Dec-2016,PC,Percentage,0,Units,null,null,1.56838879813802,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-01,Jan-2017,PC,Percentage,0,Units,null,null,2.97466150028299,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-02,Feb-2017,PC,Percentage,0,Units,null,null,2.96771233834323,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-03,Mar-2017,PC,Percentage,0,Units,null,null,2.29001834185307,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-04,Apr-2017,PC,Percentage,0,Units,null,null,2.55321442043434,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-05,May-2017,PC,Percentage,0,Units,null,null,1.93478540496504,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-06,Jun-2017,PC,Percentage,0,Units,null,null,1.50976814655955,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-07,Jul-2017,PC,Percentage,0,Units,null,null,1.54877957029697,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-08,Aug-2017,PC,Percentage,0,Units,null,null,1.61977651592404,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-09,Sep-2017,PC,Percentage,0,Units,null,null,1.79251864970749,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-10,Oct-2017,PC,Percentage,0,Units,null,null,1.57062506632706,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-11,Nov-2017,PC,Percentage,0,Units,null,null,1.66539779215836,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2017-12,Dec-2017,PC,Percentage,0,Units,null,null,1.11213892275995,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-01,Jan-2018,PC,Percentage,0,Units,null,null,0.574998150281697,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-02,Feb-2018,PC,Percentage,0,Units,null,null,1.07352363979675,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-03,Mar-2018,PC,Percentage,0,Units,null,null,1.21380598202635,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-04,Apr-2018,PC,Percentage,0,Units,null,null,1.0793030245707,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-05,May-2018,PC,Percentage,0,Units,null,null,2.05158942974016,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-06,Jun-2018,PC,Percentage,0,Units,null,null,2.27459059471504,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-07,Jul-2018,PC,Percentage,0,Units,null,null,2.24593044177727,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-08,Aug-2018,PC,Percentage,0,Units,null,null,2.18865532903772,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-09,Sep-2018,PC,Percentage,0,Units,null,null,2.25971424052302,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-10,Oct-2018,PC,Percentage,0,Units,null,null,2.26204158395153,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-11,Nov-2018,PC,Percentage,0,Units,null,null,1.68596004035487,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2018-12,Dec-2018,PC,Percentage,0,Units,null,null,1.18411477284541,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-01,Jan-2019,PC,Percentage,0,Units,null,null,0.979475161056392,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-02,Feb-2019,PC,Percentage,0,Units,null,null,1.09045874833386,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-03,Mar-2019,PC,Percentage,0,Units,null,null,1.33762435398823,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-04,Apr-2019,PC,Percentage,0,Units,null,null,1.52109044405861,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-05,May-2019,PC,Percentage,0,Units,null,null,0.809908498887158,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-06,Jun-2019,PC,Percentage,0,Units,null,null,0.428562619473381,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-07,Jul-2019,PC,Percentage,0,Units,null,null,0.526893296343841,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-08,Aug-2019,PC,Percentage,0,Units,null,null,0.327675673440687,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-09,Sep-2019,PC,Percentage,0,Units,null,null,0.0835240982490851,null,null,null
ESP,Spain,CPALTT01,Consumer Price Index > All items > Total > Total,GY,Growth rate same period previous year,M,Monthly,2019-10,Oct-2019,PC,Percentage,0,Units,null,null,0.128735632183912,null,null,null
