LOCATION,Country,SUBJECT,Subject_1,MEASURE,Measure_1,FREQUENCY,Frequency_1,TIME,Period,Unit_Code,Unit,PowerCode_Code,PowerCode,Reference_Period_Code,Reference_Period,Value,Flag_Codes,Flags,_rescued_data
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2005,2005,USD,US Dollar,6,Millions,null,null,347657.8,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2006,2006,USD,US Dollar,6,Millions,null,null,371909.6,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2007,2007,USD,US Dollar,6,Millions,null,null,391021.1,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2008,2008,USD,US Dollar,6,Millions,null,null,405728.2,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2009,2009,USD,US Dollar,6,Millions,null,null,407550.7,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2010,2010,USD,US Dollar,6,Millions,null,null,434005.9,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2011,2011,USD,US Dollar,6,Millions,null,null,451932.9,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2012,2012,USD,US Dollar,6,Millions,null,null,469720.7,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2013,2013,USD,US Dollar,6,Millions,null,null,487343.8,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2014,2014,USD,US Dollar,6,Millions,null,null,503620.5,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2015,2015,USD,US Dollar,6,Millions,null,null,520878.6,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2016,2016,USD,US Dollar,6,Millions,null,null,550677.2,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2017,2017,USD,US Dollar,6,Millions,null,null,573788.4,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2018,2018,USD,US Dollar,6,Millions,null,null,600270.2,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2019,2019,USD,US Dollar,6,Millions,null,null,650523.3,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2020,2020,USD,US Dollar,6,Millions,null,null,643354.4,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2021,2021,USD,US Dollar,6,Millions,null,null,719585.6,null,null,null
BEL,Belgium,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2022,2022,USD,US Dollar,6,Millions,null,null,797597,P,Provisional value,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,1995,1995,USD,US Dollar,6,Millions,null,null,688183.6,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,1996,1996,USD,US Dollar,6,Millions,null,null,712131,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,1997,1997,USD,US Dollar,6,Millions,null,null,755416,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,1998,1998,USD,US Dollar,6,Millions,null,null,793682.1,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,1999,1999,USD,US Dollar,6,Millions,null,null,846421.3,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2000,2000,USD,US Dollar,6,Millions,null,null,901003.3,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2001,2001,USD,US Dollar,6,Millions,null,null,937793,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2002,2002,USD,US Dollar,6,Millions,null,null,971009.1,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2003,2003,USD,US Dollar,6,Millions,null,null,1023686.5,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2004,2004,USD,US Dollar,6,Millions,null,null,1083615.2,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2005,2005,USD,US Dollar,6,Millions,null,null,1171340.2,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2006,2006,USD,US Dollar,6,Millions,null,null,1241618.9,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2007,2007,USD,US Dollar,6,Millions,null,null,1301593.9,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2008,2008,USD,US Dollar,6,Millions,null,null,1342396.6,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2009,2009,USD,US Dollar,6,Millions,null,null,1307000.7,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2010,2010,USD,US Dollar,6,Millions,null,null,1363579,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2011,2011,USD,US Dollar,6,Millions,null,null,1430807.1,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2012,2012,USD,US Dollar,6,Millions,null,null,1468095,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2013,2013,USD,US Dollar,6,Millions,null,null,1554122.7,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2014,2014,USD,US Dollar,6,Millions,null,null,1621396.7,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2015,2015,USD,US Dollar,6,Millions,null,null,1594850.8,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2016,2016,USD,US Dollar,6,Millions,null,null,1678093.4,null,null,null
CAN,Canada,B1_GE,Gross domestic product - expenditure approach,CPCARSA,"US dollars, current prices, current PPPs, annual levels, seasonally adjusted",A,Annual,2017,2017,USD,US Dollar,6,Millions,null,null,1765763.2,null,null,null
